iter SLP Tperiod AMP_WK Xslp
224 0.06 5 0.83 860.36
225 0.06 5 0.94 860.36
226 0.06 5 1.06 860.36
227 0.06 5 1.17 860.36
228 0.06 5 1.28 860.36
229 0.06 5 1.39 860.36
230 0.06 5 1.5 860.36
231 0.06 6 0.5 860.36
232 0.06 6 0.61 860.36
233 0.06 6 0.72 860.36
234 0.06 6 0.83 860.36
235 0.06 6 0.94 860.36
236 0.06 6 1.06 860.36
237 0.06 6 1.17 860.36
238 0.06 6 1.28 860.36
239 0.06 6 1.39 860.36
240 0.06 6 1.5 860.36
241 0.06 7 0.5 860.36
242 0.06 7 0.61 860.36
243 0.06 7 0.72 860.36
244 0.06 7 0.83 860.36
245 0.06 7 0.94 860.36
246 0.06 7 1.06 860.36
247 0.06 7 1.17 860.36
248 0.06 7 1.28 860.36
249 0.06 7 1.39 860.36
250 0.06 7 1.5 860.36
251 0.06 8 0.5 860.36
252 0.06 8 0.61 860.36
253 0.06 8 0.72 860.36
254 0.06 8 0.83 860.36
255 0.06 8 0.94 860.36
256 0.06 8 1.06 860.36
257 0.06 8 1.17 860.36
258 0.06 8 1.28 860.36
259 0.06 8 1.39 860.36
260 0.06 8 1.5 860.36
261 0.06 9 0.5 860.36
262 0.06 9 0.61 860.36
263 0.06 9 0.72 860.36
264 0.06 9 0.83 860.36
265 0.06 9 0.94 860.36
266 0.06 9 1.06 860.36
267 0.06 9 1.17 860.36
268 0.06 9 1.28 860.36
269 0.06 9 1.39 860.36
270 0.06 9 1.5 860.36
271 0.06 10 0.5 860.36
272 0.06 10 0.61 860.36
273 0.06 10 0.72 860.36
274 0.06 10 0.83 860.36
275 0.06 10 0.94 860.36
276 0.06 10 1.06 860.36
277 0.06 10 1.17 860.36
278 0.06 10 1.28 860.36
279 0.06 10 1.39 860.36
280 0.06 10 1.5 860.36
281 0.06 11 0.5 860.36
282 0.06 11 0.61 860.36
283 0.06 11 0.72 860.36
284 0.06 11 0.83 860.36
285 0.06 11 0.94 860.36
286 0.06 11 1.06 860.36
287 0.06 11 1.17 860.36
288 0.06 11 1.28 860.36
289 0.06 11 1.39 860.36
290 0.06 11 1.5 860.36
291 0.06 12 0.5 860.36
292 0.06 12 0.61 860.36
293 0.06 12 0.72 860.36
294 0.06 12 0.83 860.36
295 0.06 12 0.94 860.36
296 0.06 12 1.06 860.36
297 0.06 12 1.17 860.36
298 0.06 12 1.28 860.36
299 0.06 12 1.39 860.36
300 0.06 12 1.5 860.36
301 0.07 3 0.5 874
302 0.07 3 0.61 874
303 0.07 3 0.72 874
304 0.07 3 0.83 874
305 0.07 3 0.94 874
306 0.07 3 1.06 874
307 0.07 3 1.17 874
308 0.07 3 1.28 874
309 0.07 3 1.39 874
310 0.07 3 1.5 874
311 0.07 4 0.5 874
312 0.07 4 0.61 874
313 0.07 4 0.72 874
314 0.07 4 0.83 874
315 0.07 4 0.94 874
316 0.07 4 1.06 874
317 0.07 4 1.17 874
318 0.07 4 1.28 874
319 0.07 4 1.39 874
320 0.07 4 1.5 874
321 0.07 5 0.5 874
322 0.07 5 0.61 874
323 0.07 5 0.72 874
324 0.07 5 0.83 874
325 0.07 5 0.94 874
326 0.07 5 1.06 874
327 0.07 5 1.17 874
328 0.07 5 1.28 874
329 0.07 5 1.39 874
330 0.07 5 1.5 874
331 0.07 6 0.5 874
332 0.07 6 0.61 874
333 0.07 6 0.72 874
334 0.07 6 0.83 874
335 0.07 6 0.94 874
336 0.07 6 1.06 874
337 0.07 6 1.17 874
338 0.07 6 1.28 874
339 0.07 6 1.39 874
340 0.07 6 1.5 874
341 0.07 7 0.5 874
342 0.07 7 0.61 874
343 0.07 7 0.72 874
344 0.07 7 0.83 874
345 0.07 7 0.94 874
346 0.07 7 1.06 874
347 0.07 7 1.17 874
348 0.07 7 1.28 874
349 0.07 7 1.39 874
350 0.07 7 1.5 874
351 0.07 8 0.5 874
352 0.07 8 0.61 874
353 0.07 8 0.72 874
354 0.07 8 0.83 874
355 0.07 8 0.94 874
356 0.07 8 1.06 874
357 0.07 8 1.17 874
358 0.07 8 1.28 874
359 0.07 8 1.39 874
360 0.07 8 1.5 874
361 0.07 9 0.5 874
362 0.07 9 0.61 874
363 0.07 9 0.72 874
364 0.07 9 0.83 874
365 0.07 9 0.94 874
366 0.07 9 1.06 874
367 0.07 9 1.17 874
368 0.07 9 1.28 874
369 0.07 9 1.39 874
370 0.07 9 1.5 874
371 0.07 10 0.5 874
372 0.07 10 0.61 874
373 0.07 10 0.72 874
374 0.07 10 0.83 874
375 0.07 10 0.94 874
376 0.07 10 1.06 874
377 0.07 10 1.17 874
378 0.07 10 1.28 874
379 0.07 10 1.39 874
380 0.07 10 1.5 874
381 0.07 11 0.5 874
382 0.07 11 0.61 874
383 0.07 11 0.72 874
384 0.07 11 0.83 874
385 0.07 11 0.94 874
386 0.07 11 1.06 874
387 0.07 11 1.17 874
388 0.07 11 1.28 874
389 0.07 11 1.39 874
390 0.07 11 1.5 874
391 0.07 12 0.5 874
392 0.07 12 0.61 874
393 0.07 12 0.72 874
394 0.07 12 0.83 874
395 0.07 12 0.94 874
396 0.07 12 1.06 874
397 0.07 12 1.17 874
398 0.07 12 1.28 874
399 0.07 12 1.39 874
400 0.07 12 1.5 874
401 0.07 3 0.5 885.54
402 0.07 3 0.61 885.54
403 0.07 3 0.72 885.54
404 0.07 3 0.83 885.54
405 0.07 3 0.94 885.54
406 0.07 3 1.06 885.54
407 0.07 3 1.17 885.54
408 0.07 3 1.28 885.54
409 0.07 3 1.39 885.54
410 0.07 3 1.5 885.54
411 0.07 4 0.5 885.54
412 0.07 4 0.61 885.54
413 0.07 4 0.72 885.54
414 0.07 4 0.83 885.54
415 0.07 4 0.94 885.54
416 0.07 4 1.06 885.54
417 0.07 4 1.17 885.54
418 0.07 4 1.28 885.54
419 0.07 4 1.39 885.54
420 0.07 4 1.5 885.54
421 0.07 5 0.5 885.54
422 0.07 5 0.61 885.54
423 0.07 5 0.72 885.54
424 0.07 5 0.83 885.54
425 0.07 5 0.94 885.54
426 0.07 5 1.06 885.54
427 0.07 5 1.17 885.54
428 0.07 5 1.28 885.54
429 0.07 5 1.39 885.54
430 0.07 5 1.5 885.54
431 0.07 6 0.5 885.54
432 0.07 6 0.61 885.54
433 0.07 6 0.72 885.54
434 0.07 6 0.83 885.54
435 0.07 6 0.94 885.54
436 0.07 6 1.06 885.54
437 0.07 6 1.17 885.54
438 0.07 6 1.28 885.54
439 0.07 6 1.39 885.54
440 0.07 6 1.5 885.54
441 0.07 7 0.5 885.54
442 0.07 7 0.61 885.54
443 0.07 7 0.72 885.54
444 0.07 7 0.83 885.54
445 0.07 7 0.94 885.54
446 0.07 7 1.06 885.54
447 0.07 7 1.17 885.54
448 0.07 7 1.28 885.54
449 0.07 7 1.39 885.54
450 0.07 7 1.5 885.54
451 0.07 8 0.5 885.54
452 0.07 8 0.61 885.54
453 0.07 8 0.72 885.54
454 0.07 8 0.83 885.54
455 0.07 8 0.94 885.54
456 0.07 8 1.06 885.54
457 0.07 8 1.17 885.54
458 0.07 8 1.28 885.54
459 0.07 8 1.39 885.54
460 0.07 8 1.5 885.54
461 0.07 9 0.5 885.54
462 0.07 9 0.61 885.54
463 0.07 9 0.72 885.54
464 0.07 9 0.83 885.54
465 0.07 9 0.94 885.54
466 0.07 9 1.06 885.54
467 0.07 9 1.17 885.54
468 0.07 9 1.28 885.54
469 0.07 9 1.39 885.54
470 0.07 9 1.5 885.54
471 0.07 10 0.5 885.54
472 0.07 10 0.61 885.54
473 0.07 10 0.72 885.54
474 0.07 10 0.83 885.54
475 0.07 10 0.94 885.54
476 0.07 10 1.06 885.54
477 0.07 10 1.17 885.54
478 0.07 10 1.28 885.54
479 0.07 10 1.39 885.54
480 0.07 10 1.5 885.54
481 0.07 11 0.5 885.54
482 0.07 11 0.61 885.54
483 0.07 11 0.72 885.54
484 0.07 11 0.83 885.54
485 0.07 11 0.94 885.54
486 0.07 11 1.06 885.54
